keyword,title,creator,abstract,date,subject,publisher,id
charlemagne,"Une matinée de Charlemagne , fragmens tirés d'un poëme épique qui ne tardera point à paraître, par Victor d'Arlincourt","Arlincourt, Charles-Victor d' (1788-1856). Auteur du texte",Avec mode texte,1810,,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k54014635
charlemagne,"Les chevaliers du Cygne, ou La cour de Charlemagne. Tome 1 / ; conte historique et moral, pour servir de suite aux Veillées du château, et dont tous les traits qui peuvent faire allusion à la révolution française, sont tirés de l'histoire. Par Madame de Genlis. Tome premier [-troisième]","Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte",Avec mode texte,1797,,"A Hambourg, chez P. F. Fauche, imprimeur et libraire. 1797",https://gallica.bnf.fr/ark:/12148/bpt6k1511942d
charlemagne,"Section de Brutus. Discours prononcé... par Charlemagne fils, décadi 10 frimaire de l'an II... dans le Temple de la Raison et de la Vérité","Charlemagne, Jean-Philippe-Victor (1766-1794). Auteur du texte",Avec mode texte,1793,,Impr. de la Section de Brutus (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6438821d
charlemagne,"Les Chevaliers du cygne, ou La cour de Charlemagne. Tome 1 / , contes pour servir de suite aux ""Veillées du château"", et dont tous les traits qui peuvent faire allusion à la Révolution française sont tirés de l'histoire. Par madame de Genlis","Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte",Avec mode texte,1795,,Lemierre (Paris),https://gallica.bnf.fr/ark:/12148/bd6t5381050h
charlemagne,"Aperçu historique sur l'enseignement médical à Lyon : depuis la restauration des lettres par Charlemagne / par J.-É. Pétrequin,...","Pétrequin, Joseph-Éléonor (1809-1876). Auteur du texte",Avec mode texte,1864,Sciences de la santé -- Histoire,A. Delahaye (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k64802536
charlemagne,"La République d'Andorre, ou une république séculaire heureuse et stable depuis Charlemagne jusqu'à nos jours (790-1848). Michel Chevalier","Chevalier, Michel (1806-1879). Auteur du texte",Avec mode texte,1848,,,https://gallica.bnf.fr/ark:/12148/bpt6k5719896d
charlemagne,"Lycée impérial Saint-Louis (ancien collège d'Harcourt). Vers lus au banquet de la Saint-Charlemagne, le 27 janvier 1866. (Signé : Jules Anquetil.)","Anquetil, Jules. Auteur du texte",Avec mode texte,1866,,impr. de E. Donnaud (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k5471012d
charlemagne,"Dialogue entre Don Quichotte et Sancho Pança : vers lus au banquet de la saint Charlemagne, le 15 février 1890 / par Ch. Lyon-Caen ; Lycée Condorcet","Lyon-Caen, Charles (1843-1935). Auteur du texte",Avec mode texte,1890,,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k8519120
charlemagne,"Bibliothèque communale d'Abbeville. Notice sur l'évangéliaire de Charlemagne, par Alcius Ledieu,...","Ledieu, Alcius (1850-1912). Auteur du texte",Avec mode texte,1885,,impr. de E. Caudron (Abbeville),https://gallica.bnf.fr/ark:/12148/bd6t5345813w
charlemagne,"Histoire de la décadence de l'Empire après Charlemagne et des différends des empereurs avec les papes, au sujet des investitures et de l'indépendance, par le P. Louis Maimbourg.... Tome 1","Maimbourg, Louis (1610-1686). Auteur du texte",Avec mode texte,1682,,impr. de S. Mabre-Cramoisy (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k87032851
charlemagne,"Charlemagne, ou La Caroléide : poème épique en vingt-quatre chants. tome 1 / par M. le Vte d'Arlincourt (Victor),...","Arlincourt, Charles-Victor d' (1788-1856). Auteur du texte",,1818,,Le Normant (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k620898
charlemagne,"Abrégé de l'histoire universelle, depuis le commencement du monde jusqu'au dix-neuvième siècle, ornée de figures. Histoire ancienne, depuis la création jusqu'à l'empire de Charlemagne, par Bossuet ; les figures par F.-A. David,... d'après les dessins de Monnet,... Tome premier","Bossuet, Jacques Bénigne (1627-1704). Auteur du texte",Avec mode texte,1817,,F.-A. David (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6531487v
