keyword,title,creator,abstract,date,subject,publisher,id
angles,"Exposé des opérations faites en France, en 1787, pour la jonction des observatoires de Paris et de Greenwich ; par MM. Cassini, Méchain et Le Gendre,... Description et usage d'un nouvel instrument propre à donner la mesure des angles, à la précision d'une seconde","Cassini, Jean-Dominique (1748-1845). Auteur du texte; Méchain, Pierre (1744-1804). Auteur du texte; Legendre, Adrien-Marie (1752-1833). Auteur du texte",Appartient à l’ensemble documentaire : GTextes1,,,impr. de l'Institution des sourds-muets (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6587528k
angles,"Éléments de trigonométrie, comprenant des types de calcul pour la résolution des triangles, des applications à la topographie militaire, la théorie des fonctions circulaires (5e édition) / par E. A. Tarnier,...","Tarnier, Etienne Auguste (1808-1882). Auteur du texte",Avec mode texte,1875,,Hachette (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k1421499h
angles,"Extension du système métrique à la mesure du temps et des angles, conférence faite sous les auspices de la Chambre syndicale de l'horlogerie, le 23 juin 1898, à l'École d'horlogerie de Paris, par J. de Rey-Pailhade,... suivie d'un Essai de bibliographie annotée...","Rey-Pailhade, Joseph de (1850-1934). Auteur du texte",Avec mode texte,1899,,"""Moniteur de la bijouterie et de l'horlogerie"" (Paris)",https://gallica.bnf.fr/ark:/12148/bd6t57758512
angles,"Éléments de trigonométrie, comprenant des types de calcul pour la résolution des triangles, les fonctions circulaires et un choix d'exercices (4e édition) / par E. A. Tarnier,...","Tarnier, Etienne Auguste (1808-1882). Auteur du texte",Avec mode texte,1865,Trigonométrie,L. Hachette (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k14214983
angles,"Géométrie analytique : étude sur la projection des angles, courbes sphériques qui déterminent le lieu des plans sur lesquels la projection d'un angle est constante / par L. de La Rive","La Rive, Lucien de (1834-1924). Auteur du texte",Appartient à l’ensemble documentaire : BibPoly,1882,Géométrie analytique,H. Georg (Genève),https://gallica.bnf.fr/ark:/12148/bpt6k99663j
angles,Manière de réduire en tables la solution de tous les triangles sphériques. [Signé : Pezenas.],"Pezenas, Esprit (1692-1776). Auteur du texte",Appartient à l’ensemble documentaire : PACA1,,,impr. de J. Aubert (Avignon),https://gallica.bnf.fr/ark:/12148/bpt6k58426600
angles,"Traité de l'usage du pantomètre, instrument géométrique propre à prendre toutes sortes d'angles, mezurer les distances accessibles et inaccessibles, arpenter et diviser toutes sortes de figures, etc.,... nouvellement inventé par le Sr Bullet,...","Bullet, Pierre (1639-1716). Auteur du texte",Avec mode texte,1675,,A. Pralard (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k8701969q
angles,"Trigonométrie canonique divisée en 3 livres : auxquels la théorie et pratique des triangles, plans et sphériques sont traitées très exactement et brèvement, suivis du quatrième livre, contenant les tables des logarithmes pour le calcul... par Jean-Baptiste Morin,...","Morin, Jean-Baptiste (1583-1656). Auteur du texte",Avec mode texte,1633,,J. Libert (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k87073364
angles,"Procès-verbal des coutumes de la Vallée de Barège, de la Vallée de Lavedan, de la ville de Lourde, du Pays de Rivière-Ousse, de la Baronnie des Angles, et du Marquisat de Benac, dépendans du pays & Comté de Bigorre",,[Coutume. Barèges],,,(Toulouse),https://gallica.bnf.fr/ark:/12148/bpt6k6517995f
angles,"Notice sur des lettres de créance émanées de Louis XII, concernant Rigaud d'Aurelle, Tristan Salazar et Florimond Robertet, ses contemporains : lue à l'Académie de Clermont, dans sa séance du 1er décembre 1853 / par M. de Sartiges d'Angles","Sartiges d'Angles, Jean-François de. Auteur du texte",Avec mode texte,1854,Rigaud d'Aurelle,impr. de Thibaud Landriot frères (Clermont),https://gallica.bnf.fr/ark:/12148/bpt6k5723873t
angles,"Tables des cordes pour mettre les angles mesurés sur le papier, à l'usage des géomètres pratiquants",,Avec mode texte,1812,,D. du Mortier (Te Leyden),https://gallica.bnf.fr/ark:/12148/bpt6k6212782v
angles,"Leçons sur le système métrique et sur les applications usuelles de l'arithmétique à la mesure des longueurs, des surfaces, des volumes, des angles, du temps... par A. Thirion,... 7e édition, augmentée...","Thirion, Achille (directeur de l'école normale primaire de la Meuse). Auteur du texte",Avec mode texte,1853,,"Dezobry, E. Magdeleine et Cie (Paris)",https://gallica.bnf.fr/ark:/12148/bd6t5413365r
angles,"Opuscules mathématiques , par M.r l'abbé de Rochon,...","Rochon, Alexis (1741-1817). Auteur du texte","Comprend : p. [1] - Mémoire sur les moyens de perfectionner les instrumens dioptriques - p. [37] - Mémoire sur un moyen d'observer facilement en mer les éclipses des satellites de Jupiter - p. [51] - Mémoire sur les moyens de rendre l'héliometre de M.r Bouguer, propre à mesurer des angles considérables, afin de faciliter les observations de distances d'étoiles à la Lune - p. [67] - Mémoire sur la détermination des longitudes en mer, par les observations astronomiques - p. [97] - Mémoire sur le pilotage, qui peut servir de supplément à quelques articles du Traité de navigation de M.r Bouguer, redigé par M. l'abbé de La Caille - p. [129] - Mémoire sur l'art de tailler & polir les verres & les miroirs des télescopes dioptriques & catoptriques - p. [145] - De la maniere de se servir des tables suivantes pour le calcul du lieu du Soleil & du lieu de la Lune",1768,,R. Malassis (Brest),https://gallica.bnf.fr/ark:/12148/bpt6k5818614s
