keyword,title,creator,description,date,subject,publisher,id,url,item_url
vikings,The law of blasphemy in England and Wales,,"""LL 90-70. "" ""July 1990."" ""Updated by addendum March 1995."" Includes bibliographical references. Description based on online resource; title from PDF cover (Law Library of Congress, viewed September 14, 2022).",1995,blasphemy | law and legislation | england | wales,,http://www.loc.gov/item/2019670191/,https://www.loc.gov/item/2019670191/,https://www.loc.gov/item/2019670191/
vikings,Free to Use and Reuse: Dragons | Library of Congress Free to Use and Reuse,,"Here there be Dragons! You'll find friendly as well as threatening dragons—some with wings and some as serpents. The dragons appear as heroes or villains in book illustrations; mythical figures in dramatic carved shapes; and symbols in posters and cartoons. The original items date from more than 2,000 years ago to recent times. Unless otherwise noted, the selected images are from the Prints & Photographs Division.",,,,http://www.loc.gov/free-to-use/dragons/,https://www.loc.gov/free-to-use/dragons/,https://www.loc.gov/free-to-use/dragons/
vikings,Swimming in Martian Lakes: Curiosity at Gale Crater,,"As primitive life was becoming established on Earth, Gale Crater on Mars was a shallow lake filled with drinkable water and brimming with all of the chemical ingredients necessary for life to form. NASA's Scott Guzewich discusses the five-year effort to explore the remnants of this lake with the Curiosity rover. For the first time in the history of space exploration, we are directly studying an environment that was once habitable for life as we know it. The story of Gale Crater tells us how Mars has changed and whether life may be common in the universe.",2018,"science, mars, curiosity, water | science, technology",,http://www.loc.gov/item/2021690768/,https://www.loc.gov/item/2021690768/,https://www.loc.gov/item/2021690768/
vikings,Power in the Past: Introducing Online Conference Keynote Speaker Tonya Bolden,,"Award-winning author Tonya Bolden will discuss her research and writing processes as part of her keynote address for the second annual Library of Congress online conference for educators, Discover and Explore with Library of Congress Primary Sources, on October 25th at 4:00 ET.",2016-10-20,teaching tools | teachers | teaching strategies | teacher resources | blogs,,https://blogs.loc.gov/teachers/2016/10/power-in-the-past-introducing-online-conference-keynote-speaker-tonya-bolden/,https://blogs.loc.gov/teachers/2016/10/power-in-the-past-introducing-online-conference-keynote-speaker-tonya-bolden/,https://blogs.loc.gov/teachers/2016/10/power-in-the-past-introducing-online-conference-keynote-speaker-tonya-bolden/
vikings,George W. Chadwick,,"<p>George W. Chadwick, head and shoulders, facing slightly right. Photoprint by Bain News Service, N.Y.C.George Whitefield Chadwick was born in Lowell, Massachusetts on November 13, 1854. His mother died shortly after his birth. His father remarried and George quickly learned to become self-reliant. As a youngster, he received brief musical instruction from his brother. Both &hellip; <a href=""/2024/11/13/george-w-chadwick/"" class=""more-link"">Continue reading <span class=""screen-reader-text"">George W. Chadwick</span> <span class=""meta-nav"">&rarr;</span></a></p>",,"chadwick, george w. | chadwick, g. w.",,http://www.loc.gov/item/no88006190/george-w-chadwick/,https://www.loc.gov/item/no88006190/george-w-chadwick/,https://www.loc.gov/item/no88006190/george-w-chadwick/
vikings,Events & Resources | The Two Georges: Parallel Lives in an Age of Revolution | Exhibitions at the Library of Congress,,"Programs For a full calendar of events at the Library, visit loc.gov/events.",,,,http://www.loc.gov/exhibitions/two-georges/events-and-resources/,https://www.loc.gov/exhibitions/two-georges/events-and-resources/,https://www.loc.gov/exhibitions/two-georges/events-and-resources/
vikings,"Place d'armes, and other poems,",,Also available in digital form.,1904,,,http://www.loc.gov/item/tmp96008395/,https://www.loc.gov/item/tmp96008395/,https://www.loc.gov/item/tmp96008395/
vikings,Boyhood in Norway : stories of boy-life in the land of the midnight sun,,Three of the stories are reprinted from Harper's young people. Also available in digital form.,1907,norway | fiction | boys,,http://www.loc.gov/item/08011827/,https://www.loc.gov/item/08011827/,https://www.loc.gov/item/08011827/
vikings,"When I was a boy in Norway,",,Also available in digital form.,1921,children | norway | social life and customs,,http://www.loc.gov/item/21021221/,https://www.loc.gov/item/21021221/,https://www.loc.gov/item/21021221/
vikings,The story of Norway;,,2 maps on end-papers. Also available in digital form.,1886,history | norway,,http://www.loc.gov/item/04034180/,https://www.loc.gov/item/04034180/,https://www.loc.gov/item/04034180/
